"province","data_date","total_case","total_death","daily_case","daily_death"
"Aceh",2020-03-03,0,0,0,0
"Aceh",2020-03-04,0,0,0,0
"Aceh",2020-03-05,0,0,0,0
"Aceh",2020-03-06,0,0,0,0
"Aceh",2020-03-07,0,0,0,0
"Aceh",2020-03-08,0,0,0,0
"Aceh",2020-03-09,0,0,0,0
"Aceh",2020-03-10,0,0,0,0
"Aceh",2020-03-11,0,0,0,0
"Aceh",2020-03-12,0,0,0,0
"Aceh",2020-03-13,0,0,0,0
"Aceh",2020-03-14,0,0,0,0
"Aceh",2020-03-15,0,0,0,0
"Aceh",2020-03-16,0,0,0,0
"Aceh",2020-03-17,0,0,0,0
"Aceh",2020-03-18,0,0,0,0
"Aceh",2020-03-19,0,0,0,0
"Aceh",2020-03-20,0,0,0,0
"Aceh",2020-03-21,0,0,0,0
"Aceh",2020-03-22,0,0,0,0
"Aceh",2020-03-23,0,0,0,0
"Aceh",2020-03-24,0,0,0,0
"Aceh",2020-03-25,0,0,0,0
"Aceh",2020-03-26,1,0,1,0
"Aceh",2020-03-27,4,0,3,0
"Aceh",2020-03-28,4,0,0,0
"Aceh",2020-03-29,5,0,0,0
"Aceh",2020-03-30,5,0,0,0
"Aceh",2020-03-31,5,0,0,0
"Aceh",2020-04-01,5,0,0,0
"Aceh",2020-04-02,5,0,0,0
"Aceh",2020-04-03,5,0,0,0
"Aceh",2020-04-04,5,1,0,1
"Aceh",2020-04-05,5,1,0,0
"Aceh",2020-04-06,5,1,0,0
"Aceh",2020-04-07,5,1,0,0
"Aceh",2020-04-08,6,1,1,0
"Aceh",2020-04-09,6,1,0,0
"Aceh",2020-04-10,5,1,0,0
"Aceh",2020-04-11,5,1,0,0
"Aceh",2020-04-12,5,1,0,0
"Aceh",2020-04-13,5,1,0,0
"Aceh",2020-04-14,5,1,0,0
"Aceh",2020-04-15,5,1,0,0
"Aceh",2020-04-16,5,1,0,0
"Aceh",2020-04-17,5,1,0,0
"Aceh",2020-04-18,6,1,1,0
"Aceh",2020-04-19,7,1,1,0
"Aceh",2020-04-20,7,1,0,0
"Aceh",2020-04-21,7,1,0,0
"Aceh",2020-04-22,7,1,0,0
"Aceh",2020-04-23,7,1,0,0
"Aceh",2020-04-24,8,1,1,0
"Aceh",2020-04-25,9,1,1,0
"Aceh",2020-04-26,9,1,0,0
"Aceh",2020-04-27,9,1,0,0
"Aceh",2020-04-28,9,1,0,0
"Aceh",2020-04-29,9,1,0,0
"Aceh",2020-04-30,10,1,1,0
"Aceh",2020-05-01,11,1,1,0
"Aceh",2020-05-02,11,1,0,0
"Aceh",2020-05-03,12,1,1,0
"Aceh",2020-05-04,12,1,0,0
"Aceh",2020-05-05,12,1,0,0
"Aceh",2020-05-06,17,1,5,0
"Aceh",2020-05-07,17,1,0,0
"Aceh",2020-05-08,17,1,0,0
"Aceh",2020-05-09,17,1,0,0
"Aceh",2020-05-10,17,1,0,0
"Aceh",2020-05-11,17,1,0,0
"Aceh",2020-05-12,17,1,0,0
"Aceh",2020-05-13,17,1,0,0
"Aceh",2020-05-14,17,1,0,0
"Aceh",2020-05-15,17,1,0,0
"Aceh",2020-05-16,18,1,1,0
"Aceh",2020-05-17,18,1,0,0
"Aceh",2020-05-18,18,1,0,0
"Aceh",2020-05-19,18,1,0,0
"Aceh",2020-05-20,18,1,0,0
"Aceh",2020-05-21,18,1,0,0
"Aceh",2020-05-22,19,1,1,0
"Aceh",2020-05-23,19,1,0,0
"Aceh",2020-05-24,19,1,0,0
"Aceh",2020-05-25,19,1,0,0
"Aceh",2020-05-26,19,1,0,0
"Aceh",2020-05-27,19,1,0,0
"Aceh",2020-05-28,20,1,1,0
"Aceh",2020-05-29,20,1,0,0
"Aceh",2020-05-30,20,1,0,0
"Aceh",2020-05-31,20,1,0,0
"Aceh",2020-06-01,20,1,0,0
"Aceh",2020-06-02,20,1,0,0
"Aceh",2020-06-03,20,1,0,0
"Aceh",2020-06-04,20,1,0,0
"Aceh",2020-06-05,20,1,0,0
"Aceh",2020-06-06,20,1,0,0
"Aceh",2020-06-07,20,1,0,0
"Aceh",2020-06-08,20,1,0,0
"Aceh",2020-06-09,20,1,0,0
"Aceh",2020-06-10,22,1,2,0
"Aceh",2020-06-11,22,1,0,0
"Aceh",2020-06-12,22,1,0,0
"Aceh",2020-06-13,22,1,0,0
"Aceh",2020-06-14,27,1,5,0
"Aceh",2020-06-15,27,1,0,0
"Aceh",2020-06-16,27,1,0,0
"Aceh",2020-06-17,37,2,10,1
"Aceh",2020-06-18,38,2,1,0
"Aceh",2020-06-19,38,2,0,0
"Aceh",2020-06-20,39,2,1,0
"Aceh",2020-06-21,49,2,10,0
"Aceh",2020-06-22,49,2,0,0
"Aceh",2020-06-23,49,2,0,0
"Aceh",2020-06-24,53,2,4,0
"Aceh",2020-06-25,66,2,13,0
"Aceh",2020-06-26,69,2,3,0
"Aceh",2020-06-27,77,2,8,0
"Aceh",2020-06-28,79,2,2,0
"Aceh",2020-06-29,79,2,0,0
